                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                  2.759,                 5.3308,                 3.8124,                      0,                      0,                      0,                      0,                  3.679,                 5.4045,                 4.4105,             2.4607e-05,             2.4607e-05,             2.4607e-05
                     74,                  2.811,                 5.6392,                 3.6747,                      0,                      0,                      0,                      0,                  3.679,                 5.4045,                 4.4105,             2.4089e-05,             2.4089e-05,             2.4089e-05
                     75,                  2.887,                 5.8058,                 3.8587,                      0,                      0,                      0,                      0,                 3.6738,                 5.4207,                 4.4112,             2.3547e-05,             2.3547e-05,             2.3547e-05
                     76,                  2.748,                 5.3193,                 3.8694,                      0,                      0,                      0,                      0,                 3.6738,                 5.4207,                 4.4112,             2.2982e-05,             2.2982e-05,             2.2982e-05
                     77,                  2.824,                 5.3435,                 3.7527,                      0,                      0,                      0,                      0,                 3.6738,                 5.4207,                 4.4112,             2.2393e-05,             2.2393e-05,             2.2393e-05
                     78,                 2.8718,                 5.6696,                 3.9943,                      0,                      0,                      0,                      0,                 3.6837,                 5.4183,                 4.4091,              2.178e-05,              2.178e-05,              2.178e-05
                     79,                 3.0057,                 5.7035,                 3.8725,                      0,                      0,                      0,                      0,                 3.6837,                 5.4183,                 4.4091,             2.1144e-05,             2.1144e-05,             2.1144e-05
                     80,                  2.728,                 5.4071,                 3.7595,                      0,                      0,                      0,                      0,                 3.6837,                 5.4183,                 4.4091,             2.0485e-05,             2.0485e-05,             2.0485e-05
                     81,                 3.0425,                  5.533,                 3.9582,                      0,                      0,                      0,                      0,                 3.6731,                 5.4138,                 4.4115,             1.9802e-05,             1.9802e-05,             1.9802e-05
                     82,                  2.779,                 5.3456,                 3.6641,                      0,                      0,                      0,                      0,                 3.6731,                 5.4138,                 4.4115,             1.9095e-05,             1.9095e-05,             1.9095e-05
                     83,                 2.6825,                  5.462,                 3.8119,                      0,                      0,                      0,                      0,                 3.6731,                 5.4138,                 4.4115,             1.8365e-05,             1.8365e-05,             1.8365e-05
                     84,                 2.9157,                 5.4209,                 3.8932,                      0,                      0,                      0,                      0,                 3.6726,                 5.4092,                 4.4112,             1.7611e-05,             1.7611e-05,             1.7611e-05
                     85,                 3.2347,                 5.5111,                 3.9293,                      0,                      0,                      0,                      0,                 3.6726,                 5.4092,                 4.4112,             1.6833e-05,             1.6833e-05,             1.6833e-05
                     86,                 2.7206,                 5.3505,                 3.9168,                      0,                      0,                      0,                      0,                 3.6726,                 5.4092,                 4.4112,             1.6032e-05,             1.6032e-05,             1.6032e-05
                     87,                 3.0055,                 5.5422,                 3.8473,                      0,                      0,                      0,                      0,                 3.6726,                 5.4092,                 4.4112,             1.5208e-05,             1.5208e-05,             1.5208e-05
                     88,                 2.9951,                 5.4324,                 3.8649,                      0,                      0,                      0,                      0,                  3.679,                 5.4159,                 4.4065,              1.436e-05,              1.436e-05,              1.436e-05
                     89,                 2.5256,                 5.4169,                 3.8119,                      0,                      0,                      0,                      0,                  3.679,                 5.4159,                 4.4065,             1.3488e-05,             1.3488e-05,             1.3488e-05
                     90,                 2.7868,                 5.2655,                 3.8256,                      0,                      0,                      0,                      0,                  3.679,                 5.4159,                 4.4065,             1.2593e-05,             1.2593e-05,             1.2593e-05
                     91,                 2.4929,                 5.5593,                 3.7416,                      0,                      0,                      0,                      0,                  3.679,                 5.4159,                 4.4065,             1.1674e-05,             1.1674e-05,             1.1674e-05
                     92,                 2.5307,                 5.4706,                  3.871,                      0,                      0,                      0,                      0,                 3.6796,                 5.4273,                 4.4113,             1.0732e-05,             1.0732e-05,             1.0732e-05
                     93,                 2.5416,                 5.4063,                 3.6907,                      0,                      0,                      0,                      0,                 3.6796,                 5.4273,                 4.4113,             9.7656e-06,             9.7656e-06,             9.7656e-06
                     94,                 2.5793,                 5.5828,                 3.8047,                      0,                      0,                      0,                      0,                 3.6796,                 5.4273,                 4.4113,             8.7761e-06,             8.7761e-06,             8.7761e-06
                     95,                  2.457,                 5.5142,                 3.8731,                      0,                      0,                      0,                      0,                 3.6796,                 5.4273,                 4.4113,             7.7631e-06,             7.7631e-06,             7.7631e-06
                     96,                 2.4713,                 5.7389,                 3.9094,                      0,                      0,                      0,                      0,                 3.6767,                   5.42,                 4.4101,             6.7265e-06,             6.7265e-06,             6.7265e-06
                     97,                  2.401,                 5.5827,                 3.8164,                      0,                      0,                      0,                      0,                 3.6767,                   5.42,                 4.4101,             5.6663e-06,             5.6663e-06,             5.6663e-06
                     98,                  2.941,                 5.4311,                 3.8513,                      0,                      0,                      0,                      0,                 3.6767,                   5.42,                 4.4101,             4.5826e-06,             4.5826e-06,             4.5826e-06
                     99,                 2.5545,                 5.6417,                 3.9477,                      0,                      0,                      0,                      0,                 3.6767,                   5.42,                 4.4101,             3.4753e-06,             3.4753e-06,             3.4753e-06
                    100,                 3.0079,                  5.817,                 3.9766,                      0,                      0,                      0,                      0,                 3.6652,                 5.4196,                 4.4143,             2.3444e-06,             2.3444e-06,             2.3444e-06
